,Loyalty_Number,Year,Month,Flights_Booked,Flights_with_Companions,Total_Flights,Distance,Points_Accumulated,Points_Redeemed,Dollar_Cost_Points_Redeemed,Province,City,Postal_Code,Gender,Education,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Salary
194231,573475,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,Married,Star,7582.11,Standard,2018,11,79325
194255,573505,2018,12,5,1,6,1692,169.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,Single,Nova,5708.02,Standard,2014,3,83333
194279,573649,2018,12,15,0,15,2010,201.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Married,Nova,3095.18,Standard,2012,11,96481
194303,573661,2018,12,4,0,4,2888,288.0,0,0,Quebec,Montreal,H2T 9K8,Female,Bachelor,Single,Star,4303.64,Standard,2018,8,86098
194327,573681,2018,12,10,0,10,710,71.0,0,0,Quebec,Montreal,H3T 8L4,Male,Bachelor,Married,Aurora,13869.93,Standard,2016,7,52712
194351,573830,2018,12,15,0,15,1980,198.0,0,0,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,Single,Aurora,18544.3,Standard,2018,8,56850
194375,573897,2018,11,12,5,17,3774,377.0,0,0,Ontario,Toronto,P1J 8T7,Male,College,Divorced,Star,2004.35,Standard,2014,12,79381
194399,573954,2018,5,16,8,24,1584,158.0,635,51,British Columbia,Vancouver,V6E 3D9,Female,Master,Divorced,Nova,4904.89,Standard,2012,12,79329
194423,726848,2018,12,5,4,9,1629,162.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,Married,Nova,7933.82,Standard,2013,12,87889
194447,116207,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Bachelor,Married,Nova,6625.29,Standard,2017,1,62245
194471,573995,2018,12,14,0,14,1960,196.0,0,0,Ontario,Sudbury,M5V 1G5,Female,College,Single,Star,2670.8,Standard,2017,12,79381
194495,574005,2018,12,16,1,17,4420,442.0,0,0,Alberta,Banff,T4V 1D4,Female,Bachelor,Single,Nova,2813.69,Standard,2018,7,63984
194519,574081,2018,12,1,0,1,2060,206.0,0,0,Saskatchewan,Regina,S6J 3G0,Female,College,Single,Nova,2848.56,Standard,2017,12,79381
194543,574163,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1J 8T7,Male,College,Single,Star,6699.22,Standard,2013,10,79381
194567,574302,2018,12,9,0,9,3618,361.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,College,Divorced,Star,2004.35,Standard,2017,11,79381
194591,574330,2018,12,12,7,19,2451,245.0,0,0,Quebec,Hull,J8Y 3Z5,Female,Bachelor,Married,Star,2599.97,Standard,2014,8,64968
194615,574391,2018,12,10,0,10,3660,366.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Married,Star,4270.03,Standard,2017,9,79381
194639,574492,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,College,Divorced,Nova,34039.06,Standard,2018,5,79381
194663,574506,2018,11,1,0,1,2218,221.0,0,0,Ontario,Ottawa,K1F 2R2,Male,Bachelor,Married,Aurora,9000.44,Standard,2017,12,52474
194687,574542,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,College,Single,Aurora,8456.27,Standard,2014,12,79381
194711,574560,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,High School or Below,Divorced,Star,4770.74,Standard,2014,6,78644
194735,574613,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1J 8T7,Male,Bachelor,Married,Star,4928.4,Standard,2013,1,77118
194759,574627,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,High School or Below,Married,Star,2521.16,Standard,2018,11,59429
194783,574640,2018,12,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Aurora,7457.34,Standard,2012,10,63669
194807,574674,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1W 1K4,Female,College,Single,Star,7944.97,Standard,2014,10,79381
194831,574688,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Divorced,Aurora,26864.2,Standard,2012,4,91700
194855,574723,2018,12,11,0,11,3685,368.0,0,0,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,Single,Star,4080.82,Standard,2017,9,73823
194879,574726,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1W 1K4,Male,Bachelor,Married,Star,9824.75,Standard,2014,11,49412
194903,574745,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Nova,7367.65,Standard,2012,4,50433
194927,574771,2018,12,11,0,11,2673,267.0,0,0,Quebec,Hull,J8Y 3Z5,Female,Bachelor,Divorced,Star,2573.72,Standard,2012,7,53493
194951,574835,2018,12,5,4,9,2430,243.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,College,Single,Star,13024.13,Standard,2013,3,79381
194975,574899,2018,12,1,1,2,2766,276.0,0,0,Ontario,Trenton,K8V 4B2,Male,Doctor,Married,Star,8420.43,Standard,2014,9,282677
194999,574930,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,16373.73,Standard,2018,5,79028
195023,575030,2018,12,15,0,15,2715,271.0,0,0,Ontario,Thunder Bay,K8T 5M5,Female,College,Single,Nova,3903.38,Standard,2017,6,79381
195047,575070,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M1R 4K3,Male,Doctor,Single,Nova,6554.22,Standard,2015,6,239677
195071,575089,2018,12,0,0,0,0,0.0,0,0,Quebec,Hull,J8Y 3Z5,Male,Bachelor,Divorced,Nova,10963.96,Standard,2018,12,72656
195095,575123,2018,12,12,3,15,4260,426.0,0,0,Ontario,Ottawa,K1G 4Z0,Female,College,Married,Nova,4553.19,Standard,2012,9,79381
195119,575145,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Married,Aurora,9217.13,Standard,2014,4,85514
195143,575147,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T9G 1W3,Female,Bachelor,Single,Star,14042.1,Standard,2012,8,96926
195167,575411,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Female,Bachelor,Married,Star,5059.33,Standard,2018,11,81205
195191,575434,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Male,Bachelor,Divorced,Nova,8692.28,Standard,2015,3,55312
195215,575487,2018,12,12,4,16,1296,129.0,0,0,Ontario,Kingston,M9K 2P4,Male,College,Single,Star,3788.81,2018 Promotion,2018,2,79381
195239,575571,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Bachelor,Married,Star,6639.33,Standard,2016,1,85076
195263,575573,2018,12,12,0,12,3696,369.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Divorced,Nova,7408.84,Standard,2017,1,88084
195287,575574,2018,12,9,7,16,3504,350.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Doctor,Divorced,Aurora,8160.59,Standard,2013,8,236612
195311,575612,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,College,Single,Nova,3761.79,Standard,2015,2,79381
195335,575818,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Moncton,E1A 2A7,Male,College,Married,Star,14050.17,Standard,2013,7,79381
195359,575821,2018,12,11,0,11,2761,276.0,0,0,Ontario,Toronto,P1W 1K4,Male,Bachelor,Divorced,Star,2537.97,Standard,2017,10,59429
195383,575833,2018,11,0,0,0,0,0.0,0,0,Alberta,Edmonton,T9G 1W3,Male,Bachelor,Married,Aurora,13297.71,Standard,2016,5,68956
195407,575844,2018,12,5,2,7,728,72.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,Married,Aurora,8564.77,Standard,2016,1,101933
195431,575849,2018,12,15,8,23,3818,381.0,0,0,Alberta,Calgary,T3E 2V9,Male,Bachelor,Single,Star,2465.44,Standard,2017,1,79468
195455,575948,2018,12,5,2,7,700,70.0,0,0,Quebec,Montreal,H2Y 4R4,Female,High School or Below,Married,Nova,3034.77,Standard,2014,5,54473
195479,576051,2018,12,0,0,0,0,0.0,0,0,Quebec,Tremblant,H5Y 2S9,Male,College,Married,Aurora,6661.74,Standard,2013,3,79381
195503,576057,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Married,Nova,2759.98,Standard,2018,5,99444
195527,576071,2018,12,13,8,21,3927,392.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,2608.79,Standard,2013,2,76958
195551,576074,2018,12,12,5,17,2941,294.0,0,0,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,Married,Aurora,13559.39,Standard,2015,5,103645
195575,576110,2018,12,11,0,11,2035,203.0,0,0,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,Married,Nova,19834.2,Standard,2016,11,80194
195599,576176,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Divorced,Star,2853.6,Standard,2018,8,95902
195623,576184,2018,12,11,0,11,3080,308.0,0,0,British Columbia,Victoria,V10 6T5,Male,Bachelor,Single,Aurora,10954.38,Standard,2017,6,97685
195647,576217,2018,12,6,5,11,2035,203.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,Married,Star,13869.93,Standard,2015,8,52712
195671,576294,2018,12,14,7,21,2709,270.0,0,0,Alberta,Edmonton,T9G 1W3,Female,Bachelor,Married,Star,8646.5,Standard,2014,5,78830
195695,576345,2018,12,7,0,7,2688,268.0,0,0,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,Divorced,Nova,2876.82,Standard,2014,12,61302
195719,576354,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3Z3,Male,College,Married,Nova,6331.34,Standard,2012,5,79381
195743,576363,2018,12,3,3,6,1194,119.0,0,0,Quebec,Montreal,H2T 2J6,Female,Bachelor,Divorced,Star,2537.38,Standard,2012,8,99521
195767,576498,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,High School or Below,Married,Aurora,5575.2,Standard,2014,1,57844
195791,972298,2018,12,3,3,6,3660,366.0,0,0,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,Married,Star,8873.2,Standard,2015,11,52804
195815,576587,2018,12,5,1,6,2538,253.0,0,0,Quebec,Hull,J8Y 3Z5,Male,Bachelor,Single,Star,16548.86,Standard,2013,6,91646
195839,576654,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Male,Bachelor,Single,Star,2520.3,Standard,2018,11,73051
195863,576690,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,Divorced,Aurora,5421.52,Standard,2014,9,50770
195887,576692,2018,12,11,0,11,1111,111.0,0,0,Manitoba,Winnipeg,R6Y 4T5,Female,Doctor,Married,Star,3829.28,Standard,2014,6,163911
195911,576716,2018,12,3,0,3,1581,158.0,0,0,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,Married,Aurora,5013.14,Standard,2013,12,79591
195935,576736,2018,12,3,0,3,2856,285.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Single,Nova,6245.44,2018 Promotion,2018,4,76255
195959,579034,2018,12,9,0,9,1035,103.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,8476.08,Standard,2017,2,52528
195983,576878,2018,12,16,0,16,4720,472.0,0,0,Alberta,Edmonton,T9G 1W3,Female,Bachelor,Single,Nova,8550.39,Standard,2013,4,47810
196007,576911,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T9G 1W3,Female,College,Single,Aurora,7292.95,Standard,2013,9,79381
196031,576936,2018,12,4,4,8,784,78.0,0,0,Quebec,Montreal,H2T 2J6,Female,College,Married,Nova,4419.54,Standard,2016,10,79381
196055,576947,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Doctor,Married,Star,12552.65,Standard,2014,3,48742
196079,577124,2018,12,0,0,0,0,0.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,College,Married,Star,3567.5,Standard,2017,1,79381
196103,577151,2018,12,9,7,16,1808,180.0,0,0,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,Married,Aurora,5067.51,2018 Promotion,2018,4,86729
196127,577156,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1L 8X8,Female,Bachelor,Divorced,Star,6876.31,Standard,2014,3,91879
196151,577195,2018,12,0,0,0,0,0.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,Married,Nova,3269.01,Standard,2018,10,51034
196199,577232,2018,12,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,Married,Aurora,6047.03,Standard,2014,11,46831
196223,577265,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Married,Star,10208.93,Standard,2017,2,57870
196247,577360,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1J 8T7,Male,Bachelor,Married,Aurora,16794.31,Standard,2016,10,60005
196271,577386,2018,12,12,1,13,2665,266.0,0,0,Ontario,London,M5B 3E4,Male,Doctor,Married,Nova,3708.81,Standard,2015,10,216512
196295,577398,2018,12,1,1,2,1200,120.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Married,Aurora,23981.54,Standard,2016,12,93641
196319,649656,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Nova,2953.62,Standard,2014,6,87867
196343,577467,2018,12,6,0,6,2220,222.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,Divorced,Star,2413.93,Standard,2015,1,78481
196367,577501,2018,12,9,5,14,2688,268.0,0,0,Quebec,Montreal,H4G 3T4,Female,College,Married,Star,2524.65,Standard,2014,6,79381
196391,577535,2018,12,11,0,11,1980,198.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,Married,Aurora,5353.93,Standard,2016,6,77198
196415,577726,2018,12,14,0,14,3122,312.0,0,0,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,Divorced,Nova,4376.36,Standard,2014,2,78573
196439,577795,2018,3,3,3,6,438,64.5,630,51,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Aurora,8564.77,Standard,2013,6,101933
196463,577860,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Male,College,Single,Star,11042.29,Standard,2012,11,79381
196487,577998,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 6J7,Female,Bachelor,Married,Nova,29091.24,Standard,2014,10,56951
196511,578013,2018,12,11,0,11,3201,320.0,0,0,Ontario,Ottawa,K1F 2R2,Male,College,Single,Star,2678.46,Standard,2015,5,79381
196535,578020,2018,12,1,1,2,2046,204.0,0,0,Ontario,Toronto,M2M 7K8,Male,College,Married,Star,8278.79,Standard,2017,9,79381
196559,578114,2018,12,1,0,1,971,97.0,0,0,Quebec,Montreal,H2T 9K8,Male,College,Single,Star,2987.95,Standard,2014,9,79381
196583,578167,2018,12,0,0,0,0,0.0,0,0,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,Married,Star,8271.91,Standard,2016,4,77943
196607,578203,2018,12,4,4,8,2280,228.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Star,3596.83,Standard,2016,3,54367
196631,578688,2018,12,6,0,6,1836,183.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,Married,Star,3766.37,Standard,2016,3,65392
196655,578751,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,Married,Star,2735.54,Standard,2015,5,104500
196679,578811,2018,12,0,0,0,0,0.0,0,0,Ontario,Sudbury,M5V 1G5,Female,College,Single,Nova,2983.11,Standard,2015,8,79381
196703,578837,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Male,College,Single,Star,4152.65,Standard,2012,5,79381
196727,578944,2018,12,9,0,9,3843,384.0,0,0,Quebec,Montreal,H2T 2J6,Female,Bachelor,Divorced,Star,4280.75,Standard,2016,9,70454
196751,579005,2018,12,7,0,7,532,53.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,Married,Star,4786.01,Standard,2016,10,49031
196775,579015,2018,12,12,0,12,840,84.0,0,0,Quebec,Montreal,H2Y 2W2,Male,Bachelor,Married,Star,3919.37,Standard,2017,5,80697
196799,579093,2018,12,5,5,10,1690,169.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,College,Single,Star,6285.31,Standard,2018,5,79381
196823,579245,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Female,Bachelor,Married,Star,5387.93,Standard,2016,3,73496
196847,579283,2017,12,3,1,4,320,32.0,505,41,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,Married,Nova,5419.46,Standard,2017,11,85717
196871,579318,2018,12,2,0,2,2578,257.0,0,0,British Columbia,Victoria,V10 6T5,Male,Doctor,Divorced,Star,8509.85,Standard,2012,5,250253
196895,144593,2018,11,7,0,7,2618,261.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Divorced,Nova,4477.45,Standard,2016,10,62202
196919,579377,2018,10,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Divorced,Nova,4822.44,Standard,2015,10,85887
196943,579424,2018,12,11,0,11,2871,287.0,0,0,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,Married,Star,27564.74,Standard,2017,7,254724
196967,579438,2018,12,6,0,6,2394,239.0,0,0,Quebec,Montreal,H2Y 4R4,Male,Doctor,Married,Aurora,9416.28,Standard,2018,5,90083
196991,579581,2017,12,2,2,4,316,31.0,462,37,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,5534.58,Standard,2017,1,84271
197015,579584,2018,12,0,0,0,0,0.0,0,0,Quebec,Hull,J8Y 3Z5,Female,Doctor,Divorced,Aurora,11315.2,Standard,2014,2,70755
197039,579710,2018,12,10,0,10,1790,179.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Married,Nova,3439.09,Standard,2017,6,103822
197063,579726,2018,5,11,4,15,960,96.0,557,45,British Columbia,Vancouver,V1E 4R6,Male,High School or Below,Married,Aurora,7787.43,Standard,2016,1,70127
197087,579847,2018,12,2,0,2,2412,241.0,0,0,Ontario,Toronto,M2M 7K8,Male,College,Single,Star,7573.35,Standard,2014,6,79381
197111,579883,2018,12,12,9,21,3402,340.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Nova,11944.4,Standard,2018,6,56610
197135,579890,2018,12,7,0,7,1008,100.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Doctor,Single,Nova,3551.79,Standard,2012,10,67234
197159,579931,2018,12,5,2,7,931,93.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Single,Aurora,13094.61,Standard,2016,3,96483
197183,579943,2018,12,15,9,24,2904,290.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,Single,Nova,2798.68,Standard,2016,7,96307
197207,579990,2018,11,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Single,Aurora,10640.94,Standard,2012,8,68823
197231,580159,2018,12,4,0,4,1224,122.0,0,0,Ontario,Toronto,P2T 6G3,Male,Bachelor,Married,Star,11447.51,Standard,2017,8,51929
197255,580169,2017,9,2,2,4,296,29.0,448,36,Nova Scotia,Halifax,B3C 2M8,Male,College,Single,Nova,4250.28,Standard,2017,4,79381
197279,580201,2018,12,4,0,4,3424,342.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Star,8005.96,Standard,2017,9,78268
197303,580324,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,4198.03,Standard,2013,6,61113
197327,580356,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,College,Single,Aurora,5439.34,Standard,2013,7,79381
197351,580472,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Doctor,Divorced,Nova,6747.52,Standard,2012,11,258663
197375,580493,2018,12,15,8,23,3036,303.0,0,0,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,Married,Star,7380.57,Standard,2017,9,71390
197399,580500,2018,12,15,7,22,3454,345.0,0,0,Quebec,Montreal,H4G 3T4,Female,Bachelor,Married,Nova,5619.65,2018 Promotion,2018,4,30644
197423,580508,2018,12,16,5,21,2352,235.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,College,Single,Aurora,6731.05,Standard,2018,5,79381
197447,580554,2018,12,11,7,18,3816,381.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Married,Aurora,12350.06,Standard,2016,12,71941
197471,580586,2018,11,0,0,0,0,0.0,0,0,Ontario,London,M5B 3E4,Male,High School or Below,Married,Star,4730.36,Standard,2015,3,54350
197495,580592,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Bachelor,Married,Aurora,8925.63,Standard,2013,5,49366
197519,580628,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,4429.19,Standard,2012,5,47177
197543,580834,2018,12,12,4,16,1200,120.0,741,60,Ontario,Trenton,K8V 4B2,Male,Master,Married,Nova,4636.55,Standard,2017,2,123828
197567,580979,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T9G 1W3,Male,Bachelor,Married,Star,2606.21,Standard,2018,5,52775
197591,581007,2018,12,6,0,6,3768,376.0,0,0,Ontario,Sudbury,M5V 1G5,Male,Bachelor,Married,Star,2591.75,Standard,2013,3,73398
197615,581079,2018,12,13,0,13,3965,396.0,0,0,Alberta,Banff,T4V 1D4,Male,Bachelor,Married,Nova,3103.92,Standard,2012,6,86543
197639,581260,2018,12,0,0,0,0,0.0,0,0,Ontario,London,M5B 3E4,Male,Doctor,Divorced,Nova,5213.07,Standard,2012,8,79976
197663,581294,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Male,College,Single,Star,12944.19,Standard,2012,8,79381
197687,581380,2018,12,0,0,0,0,0.0,0,0,Ontario,Sudbury,M5V 1G5,Female,Doctor,Single,Star,2424.22,Standard,2014,5,206341
197711,581396,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Male,Bachelor,Divorced,Star,3265.16,Standard,2017,4,50800
197735,581419,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T3G 6Y6,Male,College,Married,Star,8278.79,Standard,2018,12,79381
197759,581427,2018,12,11,0,11,4202,420.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Doctor,Married,Nova,5623.31,Standard,2016,8,67297
197783,581481,2018,12,7,0,7,3269,326.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Married,Star,2516.1,Standard,2016,12,96619
197807,581513,2018,12,15,7,22,4862,486.0,0,0,Ontario,Toronto,P2T 6G3,Male,Bachelor,Married,Aurora,14376.55,Standard,2013,4,83379
197831,581531,2018,12,0,0,0,0,0.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,Master,Married,Aurora,11981.98,Standard,2014,7,106899
197855,581533,2018,12,5,5,10,1220,122.0,0,0,Quebec,Montreal,H2T 2J6,Male,College,Single,Star,4069.78,Standard,2013,6,79381
197879,581596,2018,11,12,0,12,2964,296.0,0,0,Ontario,Toronto,M2Z 4K1,Male,Bachelor,Married,Star,17723.76,Standard,2016,10,50764
197903,581651,2018,12,3,0,3,2259,225.0,0,0,Ontario,Toronto,M2P 4F6,Male,Bachelor,Single,Star,2530.71,Standard,2018,9,97363
197927,581661,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Single,Star,2514.59,Standard,2013,4,64001
197951,581682,2018,12,1,1,2,1390,139.0,0,0,Quebec,Montreal,H2T 9K8,Male,College,Single,Star,2272.31,Standard,2013,11,79381
197975,581712,2018,12,13,0,13,3445,344.0,0,0,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,Single,Star,3702.63,Standard,2013,11,56594
197999,581913,2018,12,9,8,17,2567,256.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Aurora,7996.6,Standard,2017,10,63853
198023,581999,2018,12,0,0,0,0,0.0,0,0,Ontario,Ottawa,K1F 2R2,Male,Bachelor,Married,Aurora,8219.36,Standard,2015,4,52721
198047,582066,2018,12,5,5,10,2980,298.0,0,0,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,Single,Star,2530.71,Standard,2014,8,97363
198071,582067,2018,12,6,0,6,3714,371.0,0,0,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,Married,Nova,2760.48,Standard,2018,7,89763
198095,582097,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M8Y 4K8,Female,Bachelor,Married,Star,8658.86,Standard,2014,10,77615
198119,582166,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,Divorced,Nova,6006.44,Standard,2015,4,60797
198143,582244,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,Married,Aurora,6165.86,Standard,2012,4,76459
198167,582256,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Female,College,Married,Nova,8569.36,Standard,2016,1,79381
198191,582257,2018,12,5,0,5,1720,172.0,0,0,Ontario,Toronto,P1J 8T7,Female,College,Married,Star,5345.99,Standard,2012,12,79381
198215,582364,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Star,11130.12,Standard,2015,3,63319
198239,899825,2018,12,9,0,9,792,79.0,0,0,Nova Scotia,Halifax,B3C 2M8,Female,College,Single,Aurora,9031.21,Standard,2012,8,79381
198287,582493,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,Married,Nova,7434.25,Standard,2014,9,69524
198311,582646,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Female,College,Married,Star,5165.57,Standard,2017,11,79381
198335,582674,2018,12,15,0,15,1050,105.0,0,0,New Brunswick,Fredericton,E3B 2H2,Male,High School or Below,Married,Nova,9546.82,2018 Promotion,2018,4,32785
198359,582690,2018,12,6,0,6,2442,244.0,0,0,Ontario,London,M5B 3E4,Female,Bachelor,Single,Nova,3933.81,Standard,2016,12,50879
198383,582843,2018,12,11,0,11,2013,201.0,0,0,Alberta,Edmonton,T9G 1W3,Male,Bachelor,Married,Nova,5233.99,Standard,2018,11,78196
198407,582861,2018,12,6,0,6,558,55.0,0,0,Quebec,Montreal,H2T 9K8,Female,Bachelor,Married,Aurora,4984.62,Standard,2017,6,95061
198431,582874,2018,8,4,4,8,592,59.0,482,39,Ontario,Toronto,M1R 4K3,Male,College,Single,Star,3090.03,2018 Promotion,2018,3,79381
198455,582883,2018,12,11,6,17,4029,402.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Single,Star,5068.43,Standard,2013,5,91066
